character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate
metaknight,ness,6,2,8,0.75
kazuya,young link,4,1,5,0.8
littlemac,zelda,9,3,12,0.75
bowser,pokemon trainer,21,21,42,0.5
king k. rool,pokemon trainer,9,12,21,0.42857142857142855
bowser,toon link,15,8,23,0.6521739130434783
luigi,roy,12,3,15,0.8
bowser,pacman,9,3,12,0.75
kazuya,ness,4,2,6,0.6666666666666666
ken,young link,12,3,15,0.8
isabelle,zelda,4,1,5,0.8
bowser,pikachu,12,8,20,0.6
diddy kong,luigi,10,7,17,0.5882352941176471
lucina,pacman,7,8,15,0.4666666666666667
ness,wario,11,8,19,0.5789473684210527
ken,zelda,10,9,19,0.5263157894736842
pikachu,pokemon trainer,21,8,29,0.7241379310344828
diddy kong,lucina,17,11,28,0.6071428571428571
ken,wario,13,1,14,0.9285714285714286
diddy kong,pikachu,27,23,50,0.54
pikachu,wario,16,9,25,0.64
metaknight,young link,3,2,5,0.6
bowser,isabelle,9,3,12,0.75
roy,young link,15,7,22,0.6818181818181818
bowser,metaknight,10,4,14,0.7142857142857143
isabelle,young link,3,4,7,0.42857142857142855
bowser,bowser,11,13,24,0.4583333333333333
pokemon trainer,young link,19,15,34,0.5588235294117647
lucina,pokemon trainer,28,19,47,0.5957446808510638
bowser,zelda,13,7,20,0.65
ness,zelda,20,14,34,0.5882352941176471
ken,pokemon trainer,13,10,23,0.5652173913043478
diddy kong,zelda,10,10,20,0.5
ken,pikachu,17,14,31,0.5483870967741935
captainfalcon,hero,8,5,13,0.6153846153846154
kazuya,sonic,7,0,7,1.0
captainfalcon,sonic,14,9,23,0.6086956521739131
robin,sonic,8,6,14,0.5714285714285714
isabelle,sonic,6,5,11,0.5454545454545454
diddy kong,dr. mario,5,1,6,0.8333333333333334
bowser,young link,10,13,23,0.43478260869565216
bowser,roy,26,12,38,0.6842105263157895
roy,sora,11,1,12,0.9166666666666666
pikachu,steve,7,2,9,0.7777777777777778
falco,young link,18,10,28,0.6428571428571429
bowser,diddy kong,23,10,33,0.696969696969697
roy,zelda,13,5,18,0.7222222222222222
king k. rool,samus,10,6,16,0.625
falco,sonic,14,7,21,0.6666666666666666
bowser,ken,11,9,20,0.55
pikachu,roy,9,5,14,0.6428571428571429
falco,sora,8,1,9,0.8888888888888888
falco,samus,17,2,19,0.8947368421052632
diddy kong,sora,8,4,12,0.6666666666666666
samus,sora,11,0,11,1.0
dr. mario,young link,3,2,5,0.6
roy,steve,6,5,11,0.5454545454545454
byleth,king k. rool,7,5,12,0.5833333333333334
bowser,steve,10,4,14,0.7142857142857143
king k. rool,sonic,5,6,11,0.45454545454545453
falco,steve,4,3,7,0.5714285714285714
pikachu,young link,11,6,17,0.6470588235294118
bowser,falco,19,10,29,0.6551724137931034
sonic,zelda,21,10,31,0.6774193548387096
falco,pikachu,19,6,25,0.76
falco,zelda,11,12,23,0.4782608695652174
falco,ken,6,11,17,0.35294117647058826
diddy kong,falco,18,12,30,0.6
diddy kong,samus,11,7,18,0.6111111111111112
bowser,luigi,19,6,25,0.76
bowser,inkling,17,13,30,0.5666666666666667
rob,roy,19,17,36,0.5277777777777778
bowser,sonic,14,4,18,0.7777777777777778
snake,young link,22,16,38,0.5789473684210527
bowser,samus,10,6,16,0.625
inkling,ness,30,18,48,0.625
diddy kong,duckhunt,9,5,14,0.6428571428571429
rob,sonic,37,22,59,0.6271186440677966
bowser,snake,26,18,44,0.5909090909090909
inkling,samus,21,13,34,0.6176470588235294
snake,sonic,42,23,65,0.6461538461538462
samus,zelda,18,4,22,0.8181818181818182
samus,sonic,19,9,28,0.6785714285714286
luigi,young link,11,4,15,0.7333333333333333
duckhunt,pokemon trainer,4,8,12,0.3333333333333333
ken,luigi,7,3,10,0.7
pokemon trainer,roy,18,15,33,0.5454545454545454
bowser,ness,18,18,36,0.5
inkling,luigi,16,6,22,0.7272727272727273
diddy kong,inkling,19,9,28,0.6785714285714286
bowser,rob,28,13,41,0.6829268292682927
inkling,snake,39,24,63,0.6190476190476191
rob,zelda,17,10,27,0.6296296296296297
inkling,rob,21,22,43,0.4883720930232558
rob,samus,25,8,33,0.7575757575757576
captainfalcon,mario,14,9,23,0.6086956521739131
ness,pyra mythra,14,7,21,0.6666666666666666
falco,ike,11,10,21,0.5238095238095238
king k. rool,mario,14,1,15,0.9333333333333333
mario,marth,5,5,10,0.5
pyra mythra,shulk,9,3,12,0.75
mario,mario,3,13,16,0.1875
falco,shulk,13,4,17,0.7647058823529411
mario,shulk,37,11,48,0.7708333333333334
captainfalcon,pyra mythra,3,5,8,0.375
marth,ness,7,4,11,0.6363636363636364
ike,king k. rool,5,3,8,0.625
pyra mythra,samus,8,4,12,0.6666666666666666
king k. rool,marth,4,2,6,0.6666666666666666
mario,pyra mythra,9,1,10,0.9
falco,king k. rool,8,8,16,0.5
falco,mario,15,4,19,0.7894736842105263
pyra mythra,sora,8,1,9,0.8888888888888888
samus,young link,2,3,5,0.4
bowser,wii fit trainer,6,3,9,0.6666666666666666
isabelle,pokemon trainer,7,12,19,0.3684210526315789
isabelle,sora,3,2,5,0.6
roy,samus,9,9,18,0.5
isabelle,luigi,5,3,8,0.625
ken,roy,10,9,19,0.5263157894736842
pichu,richter,6,3,9,0.6666666666666666
captainfalcon,marth,6,1,7,0.8571428571428571
ike,mario,13,6,19,0.6842105263157895
bowser,marth,3,3,6,0.5
inkling,pyra mythra,10,7,17,0.5882352941176471
bowser,mario,30,9,39,0.7692307692307693
inkling,piranha plant,4,3,7,0.5714285714285714
ike,ness,18,10,28,0.6428571428571429
mario,piranha plant,4,2,6,0.6666666666666666
ike,marth,8,2,10,0.8
bowser,piranha plant,7,2,9,0.7777777777777778
marth,pyra mythra,5,2,7,0.7142857142857143
bowser,shulk,9,8,17,0.5294117647058824
jigglypuff,sora,4,1,5,0.8
ridley,zelda,8,6,14,0.5714285714285714
inkling,young link,18,12,30,0.6
bowser,incineroar,10,7,17,0.5882352941176471
lucina,pyra mythra,9,2,11,0.8181818181818182
falco,isabelle,5,0,5,1.0
jigglypuff,wario,5,3,8,0.625
inkling,zelda,25,13,38,0.6578947368421053
isabelle,lucina,4,7,11,0.36363636363636365
joker,pokemon trainer,29,24,53,0.5471698113207547
ken,piranha plant,5,0,5,1.0
sora,young link,5,4,9,0.5555555555555556
wario,zelda,15,4,19,0.7894736842105263
lucina,pikachu,12,10,22,0.5454545454545454
joker,ken,11,6,17,0.6470588235294118
joker,sora,9,2,11,0.8181818181818182
joker,pikachu,21,10,31,0.6774193548387096
ridley,young link,8,4,12,0.6666666666666666
falco,pyra mythra,13,7,20,0.65
incineroar,piranha plant,4,2,6,0.6666666666666666
falco,pokemon trainer,20,8,28,0.7142857142857143
isabelle,roy,7,5,12,0.5833333333333334
falco,piranha plant,7,1,8,0.875
jigglypuff,young link,9,3,12,0.75
falco,lucina,12,6,18,0.6666666666666666
piranha plant,zelda,3,2,5,0.6
diddy kong,ken,18,11,29,0.6206896551724138
sora,wario,9,4,13,0.6923076923076923
joker,wario,13,7,20,0.65
fox,robin,8,4,12,0.6666666666666666
incineroar,incineroar,1,5,6,0.16666666666666666
cloud,marth,2,3,5,0.4
incineroar,yoshi,11,7,18,0.6111111111111112
kazuya,roy,12,2,14,0.8571428571428571
incineroar,robin,12,4,16,0.75
incineroar,kazuya,5,2,7,0.7142857142857143
cloud,fox,22,21,43,0.5116279069767442
fox,yoshi,18,9,27,0.6666666666666666
incineroar,roy,14,7,21,0.6666666666666666
robin,yoshi,16,1,17,0.9411764705882353
kazuya,yoshi,3,5,8,0.375
bowser,ike,8,4,12,0.6666666666666666
bowser,king k. rool,9,9,18,0.5
isabelle,pyra mythra,5,0,5,1.0
cloud,snake,49,25,74,0.6621621621621622
rob,steve,10,9,19,0.5263157894736842
kazuya,wolf,3,2,5,0.6
ken,wolf,17,7,24,0.7083333333333334
ken,snake,24,13,37,0.6486486486486487
isabelle,ken,4,4,8,0.5
pyra mythra,pyra mythra,1,5,6,0.16666666666666666
cloud,steve,6,5,11,0.5454545454545454
wolf,wolf,12,32,44,0.2727272727272727
cloud,kazuya,4,2,6,0.6666666666666666
wii fit trainer,wolf,10,7,17,0.5882352941176471
snake,wolf,55,34,89,0.6179775280898876
isabelle,snake,9,7,16,0.5625
samus,shulk,16,12,28,0.5714285714285714
bowser,sephiroth,10,4,14,0.7142857142857143
byleth,young link,2,3,5,0.4
inkling,marth,7,2,9,0.7777777777777778
toon link,young link,7,6,13,0.5384615384615384
inkling,isabelle,11,10,21,0.5238095238095238
young link,zelda,13,11,24,0.5416666666666666
ken,lucina,8,8,16,0.5
lucina,sora,6,3,9,0.6666666666666666
sora,zelda,6,1,7,0.8571428571428571
byleth,isabelle,6,1,7,0.8571428571428571
falco,inkling,10,18,28,0.35714285714285715
sephiroth,sora,4,1,5,0.8
inkling,sephiroth,7,2,9,0.7777777777777778
dr. mario,luigi,3,2,5,0.6
byleth,roy,12,3,15,0.8
inkling,sora,4,3,7,0.5714285714285714
ken,sephiroth,5,2,7,0.7142857142857143
jigglypuff,pyra mythra,7,4,11,0.6363636363636364
jigglypuff,pokemon trainer,6,2,8,0.75
luigi,sephiroth,3,2,5,0.6
pokemon trainer,sora,6,5,11,0.5454545454545454
luigi,steve,5,1,6,0.8333333333333334
inkling,ken,14,6,20,0.7
richter,roy,8,4,12,0.6666666666666666
daisy,rob,13,10,23,0.5652173913043478
fox,rob,35,20,55,0.6363636363636364
incineroar,rob,17,6,23,0.7391304347826086
fox,richter,4,3,7,0.5714285714285714
fox,isabelle,3,2,5,0.6
mario,samus,13,4,17,0.7647058823529411
king k. rool,pyra mythra,6,1,7,0.8571428571428571
marth,shulk,10,2,12,0.8333333333333334
mario,wolf,31,13,44,0.7045454545454546
falco,roy,22,2,24,0.9166666666666666
bowser,sora,8,2,10,0.8
king k. rool,young link,9,4,13,0.6923076923076923
wolf,zelda,20,7,27,0.7407407407407407
byleth,sonic,9,5,14,0.6428571428571429
steve,zelda,4,2,6,0.6666666666666666
snake,steve,5,5,10,0.5
bowser,lucina,15,6,21,0.7142857142857143
ness,sonic,22,17,39,0.5641025641025641
pokemon trainer,wario,10,13,23,0.43478260869565216
king k. rool,zelda,10,5,15,0.6666666666666666
luigi,snake,13,9,22,0.5909090909090909
lucina,ness,26,12,38,0.6842105263157895
king k. rool,wario,4,4,8,0.5
lucina,snake,28,15,43,0.6511627906976745
king k. rool,snake,11,9,20,0.55
sephiroth,young link,6,1,7,0.8571428571428571
mario,mrgameandwatch,8,5,13,0.6153846153846154
sora,wolf,9,3,12,0.75
sonic,sora,12,4,16,0.75
king k. rool,steve,8,2,10,0.8
byleth,luigi,6,2,8,0.75
ness,roy,21,9,30,0.7
pokemon trainer,sonic,24,9,33,0.7272727272727273
luigi,ness,10,9,19,0.5263157894736842
lucina,zelda,15,7,22,0.6818181818181818
lucina,wario,11,4,15,0.7333333333333333
snake,wario,21,10,31,0.6774193548387096
kazuya,sephiroth,4,2,6,0.6666666666666666
bayonetta,sora,5,3,8,0.625
hero,roy,9,7,16,0.5625
jigglypuff,lucina,7,4,11,0.6363636363636364
bowser,kazuya,9,2,11,0.8181818181818182
bayonetta,sonic,7,5,12,0.5833333333333334
hero,luigi,5,2,7,0.7142857142857143
king k. rool,lucina,14,14,28,0.5
bayonetta,hero,6,1,7,0.8571428571428571
bayonetta,zelda,7,6,13,0.5384615384615384
dr. mario,rob,4,7,11,0.36363636363636365
sonic,young link,17,12,29,0.5862068965517241
luigi,sonic,15,9,24,0.625
king k. rool,luigi,6,3,9,0.6666666666666666
hero,zelda,4,1,5,0.8
falco,jigglypuff,6,4,10,0.6
link,zelda,7,7,14,0.5
bayonetta,marth,5,2,7,0.7142857142857143
captainfalcon,diddy kong,9,6,15,0.6
kazuya,wario,5,1,6,0.8333333333333334
bayonetta,young link,6,2,8,0.75
luigi,pokemon trainer,13,4,17,0.7647058823529411
diddy kong,isabelle,6,0,6,1.0
pacman,snake,11,8,19,0.5789473684210527
falco,wario,13,2,15,0.8666666666666667
bayonetta,pokemon trainer,17,7,24,0.7083333333333334
diddy kong,snake,49,23,72,0.6805555555555556
diddy kong,pokemon trainer,19,5,24,0.7916666666666666
diddy kong,wario,18,5,23,0.782608695652174
bowser,captainfalcon,11,9,20,0.55
king k. rool,link,7,9,16,0.4375
captainfalcon,young link,4,4,8,0.5
link,pacman,5,10,15,0.3333333333333333
jigglypuff,luigi,6,1,7,0.8571428571428571
isabelle,link,4,4,8,0.5
bayonetta,piranha plant,4,2,6,0.6666666666666666
kazuya,snake,5,0,5,1.0
falco,link,12,5,17,0.7058823529411765
bayonetta,snake,13,7,20,0.65
falco,luigi,9,5,14,0.6428571428571429
bayonetta,diddy kong,14,4,18,0.7777777777777778
bayonetta,wario,6,2,8,0.75
bayonetta,bowser,12,10,22,0.5454545454545454
shulk,wolf,19,16,35,0.5428571428571428
bowser,zero suit samus,15,3,18,0.8333333333333334
samus,wolf,18,17,35,0.5142857142857142
wolf,zero suit samus,20,13,33,0.6060606060606061
mario,zero suit samus,15,19,34,0.4411764705882353
piranha plant,samus,6,0,6,1.0
bayonetta,wolf,11,16,27,0.4074074074074074
bayonetta,shulk,10,9,19,0.5263157894736842
bayonetta,mario,12,2,14,0.8571428571428571
falco,kazuya,4,4,8,0.5
incineroar,mewtwo,6,1,7,0.8571428571428571
luigi,pikachu,10,9,19,0.5263157894736842
falco,incineroar,11,3,14,0.7857142857142857
falco,snake,31,11,42,0.7380952380952381
kazuya,pokemon trainer,4,3,7,0.5714285714285714
pokemon trainer,snake,46,24,70,0.6571428571428571
pikachu,snake,31,26,57,0.543859649122807
falco,mewtwo,5,2,7,0.7142857142857143
mrgameandwatch,pokemon trainer,20,11,31,0.6451612903225806
mrgameandwatch,young link,7,4,11,0.6363636363636364
diddy kong,lucas,7,2,9,0.7777777777777778
ness,young link,13,9,22,0.5909090909090909
diddy kong,ness,20,14,34,0.5882352941176471
incineroar,pokemon trainer,12,6,18,0.6666666666666666
bowser,mrgameandwatch,9,5,14,0.6428571428571429
pokemon trainer,wii fit trainer,10,8,18,0.5555555555555556
lucas,luigi,5,6,11,0.45454545454545453
lucas,young link,3,3,6,0.5
falco,lucas,4,5,9,0.4444444444444444
bayonetta,luigi,2,5,7,0.2857142857142857
fox,mario,14,10,24,0.5833333333333334
ness,wolf,33,13,46,0.717391304347826
corrin,wolf,8,6,14,0.5714285714285714
bowser,wolf,23,13,36,0.6388888888888888
corrin,samus,8,6,14,0.5714285714285714
fox,marth,4,1,5,0.8
piranha plant,wolf,13,0,13,1.0
king k. rool,wolf,19,17,36,0.5277777777777778
corrin,marth,3,3,6,0.5
bayonetta,samus,3,4,7,0.42857142857142855
simon,young link,4,1,5,0.8
duckhunt,ken,6,4,10,0.6
rob,young link,19,12,31,0.6129032258064516
daisy,duckhunt,5,0,5,1.0
richter,young link,2,5,7,0.2857142857142857
richter,zelda,5,2,7,0.7142857142857143
daisy,zelda,4,3,7,0.5714285714285714
marth,wolf,7,5,12,0.5833333333333334
pyra mythra,wolf,17,8,25,0.68
bayonetta,zero suit samus,9,6,15,0.6
bayonetta,pyra mythra,8,3,11,0.7272727272727273
pyra mythra,zero suit samus,16,19,35,0.45714285714285713
diddy kong,incineroar,5,3,8,0.625
roy,snake,31,16,47,0.6595744680851063
diddy kong,young link,21,6,27,0.7777777777777778
pokemon trainer,wolf,54,24,78,0.6923076923076923
ness,pokemon trainer,30,22,52,0.5769230769230769
incineroar,wolf,21,9,30,0.7
incineroar,zelda,13,9,22,0.5909090909090909
falco,ness,14,9,23,0.6086956521739131
luigi,wario,10,3,13,0.7692307692307693
wolf,young link,24,9,33,0.7272727272727273
falco,wolf,28,11,39,0.717948717948718
ness,shulk,18,11,29,0.6206896551724138
king k. rool,ness,11,10,21,0.5238095238095238
bowser,pyra mythra,6,3,9,0.6666666666666666
bayonetta,pikachu,6,6,12,0.5
captainfalcon,yoshi,17,18,35,0.4857142857142857
pikachu,shulk,7,6,13,0.5384615384615384
samus,yoshi,13,10,23,0.5652173913043478
mario,yoshi,20,7,27,0.7407407407407407
pikachu,pyra mythra,12,8,20,0.6
kirby,shulk,3,7,10,0.3
captainfalcon,samus,10,3,13,0.7692307692307693
captainfalcon,kirby,6,7,13,0.46153846153846156
fox,wolf,37,23,60,0.6166666666666667
captainfalcon,falco,6,6,12,0.5
fox,shulk,13,5,18,0.7222222222222222
pikachu,samus,12,6,18,0.6666666666666666
captainfalcon,pacman,8,5,13,0.6153846153846154
pacman,pikachu,11,6,17,0.6470588235294118
cloud,diddy kong,15,7,22,0.6818181818181818
fox,wario,7,8,15,0.4666666666666667
mrgameandwatch,pacman,7,2,9,0.7777777777777778
fox,mrgameandwatch,10,5,15,0.6666666666666666
diddy kong,fox,19,7,26,0.7307692307692307
pacman,wario,3,3,6,0.5
cloud,mrgameandwatch,21,5,26,0.8076923076923077
bowser,fox,12,6,18,0.6666666666666666
roy,wario,16,5,21,0.7619047619047619
luigi,robin,5,2,7,0.7142857142857143
bowser,byleth,10,2,12,0.8333333333333334
roy,wolf,31,17,48,0.6458333333333334
robin,roy,15,4,19,0.7894736842105263
falco,robin,7,8,15,0.4666666666666667
kazuya,wii fit trainer,3,2,5,0.6
inkling,wolf,35,24,59,0.5932203389830508
incineroar,inkling,17,5,22,0.7727272727272727
wii fit trainer,young link,3,3,6,0.5
diddy kong,wii fit trainer,11,4,15,0.7333333333333333
inkling,wii fit trainer,12,6,18,0.6666666666666666
pikachu,wii fit trainer,2,4,6,0.3333333333333333
incineroar,ness,14,8,22,0.6363636363636364
inkling,kazuya,6,2,8,0.75
kazuya,luigi,4,6,10,0.4
wario,wolf,12,6,18,0.6666666666666666
incineroar,joker,8,9,17,0.47058823529411764
sonic,wii fit trainer,8,3,11,0.7272727272727273
bowser,joker,17,11,28,0.6071428571428571
luigi,luigi,3,5,8,0.375
bayonetta,falco,4,8,12,0.3333333333333333
joker,luigi,8,5,13,0.6153846153846154
diddy kong,joker,17,12,29,0.5862068965517241
roy,sonic,14,8,22,0.6363636363636364
incineroar,king k. rool,8,7,15,0.5333333333333333
king k. rool,wii fit trainer,7,2,9,0.7777777777777778
palutena,steve,4,4,8,0.5
steve,yoshi,9,3,12,0.75
bowser,ridley,10,7,17,0.5882352941176471
steve,steve,2,4,6,0.3333333333333333
ridley,steve,4,1,5,0.8
lucina,steve,5,1,6,0.8333333333333334
bowser,rosalina & luma,8,2,10,0.8
lucina,samus,10,5,15,0.6666666666666666
inkling,link,20,7,27,0.7407407407407407
cloud,pokemon trainer,33,19,52,0.6346153846153846
joker,palutena,37,21,58,0.6379310344827587
palutena,pokemon trainer,41,18,59,0.6949152542372882
inkling,palutena,30,21,51,0.5882352941176471
captainfalcon,link,11,13,24,0.4583333333333333
link,pokemon trainer,22,12,34,0.6470588235294118
inkling,pokemon trainer,34,30,64,0.53125
link,lucina,23,11,34,0.6764705882352942
inkling,joker,17,9,26,0.6538461538461539
captainfalcon,inkling,23,13,36,0.6388888888888888
joker,link,25,12,37,0.6756756756756757
inkling,lucina,28,19,47,0.5957446808510638
captainfalcon,joker,8,10,18,0.4444444444444444
joker,lucina,12,8,20,0.6
captainfalcon,lucina,17,12,29,0.5862068965517241
link,snake,39,24,63,0.6190476190476191
captainfalcon,wolf,22,18,40,0.55
link,wolf,26,14,40,0.65
captainfalcon,pokemon trainer,14,14,28,0.5
link,palutena,24,24,48,0.5
lucina,palutena,34,30,64,0.53125
greninja,mrgameandwatch,9,1,10,0.9
falco,zero suit samus,13,9,22,0.5909090909090909
samus,terry,5,5,10,0.5
mario,steve,4,2,6,0.6666666666666666
yoshi,yoshi,11,14,25,0.44
falco,mrgameandwatch,6,7,13,0.46153846153846156
terry,yoshi,6,5,11,0.5454545454545454
mrgameandwatch,yoshi,14,10,24,0.5833333333333334
bayonetta,sheik,4,1,5,0.8
ryu,sheik,5,0,5,1.0
bayonetta,steve,3,2,5,0.6
sonic,steve,2,5,7,0.2857142857142857
ridley,roy,7,7,14,0.5
captainfalcon,ryu,5,4,9,0.5555555555555556
shulk,zelda,4,3,7,0.5714285714285714
joker,steve,6,2,8,0.75
captainfalcon,roy,15,14,29,0.5172413793103449
captainfalcon,steve,2,5,7,0.2857142857142857
joker,shulk,23,10,33,0.696969696969697
roy,shulk,7,6,13,0.5384615384615384
inkling,roy,21,13,34,0.6176470588235294
shulk,steve,4,2,6,0.6666666666666666
inkling,shulk,8,9,17,0.47058823529411764
captainfalcon,shulk,11,9,20,0.55
littlemac,sonic,4,5,9,0.4444444444444444
ryu,wii fit trainer,3,2,5,0.6
littlemac,ridley,4,2,6,0.6666666666666666
captainfalcon,chrom,14,5,19,0.7368421052631579
littlemac,shulk,5,5,10,0.5
