character_1,character_2,char1_wins,char2_wins,total_games,char1_winrate
pichu,simon,2,5,7,0.2857142857142857
banjo & kazooie,metaknight,3,2,5,0.6
hero,piranha plant,5,1,6,0.8333333333333334
inkling,mii brawler,3,4,7,0.42857142857142855
hero,megaman,3,3,6,0.5
ness,olimar,9,5,14,0.6428571428571429
lucina,olimar,3,4,7,0.42857142857142855
megaman,pokemon trainer,14,3,17,0.8235294117647058
hero,olimar,3,2,5,0.6
greninja,pokemon trainer,18,10,28,0.6428571428571429
ken,olimar,3,6,9,0.3333333333333333
pichu,sora,3,2,5,0.6
king dedede,kirby,5,3,8,0.625
diddy kong,ridley,10,5,15,0.6666666666666666
donkeykong,minmin,6,1,7,0.8571428571428571
minmin,yoshi,7,5,12,0.5833333333333334
ridley,yoshi,12,5,17,0.7058823529411765
pacman,ridley,4,1,5,0.8
ridley,wario,8,2,10,0.8
incineroar,young link,6,3,9,0.6666666666666666
inkling,wario,14,5,19,0.7368421052631579
ike,terry,4,3,7,0.5714285714285714
sonic,terry,6,3,9,0.6666666666666666
falco,ridley,9,4,13,0.6923076923076923
joker,zelda,11,5,16,0.6875
incineroar,terry,4,3,7,0.5714285714285714
darkpit,incineroar,2,3,5,0.4
mewtwo,terry,3,3,6,0.5
incineroar,sora,3,3,6,0.5
ridley,samus,4,3,7,0.5714285714285714
falco,pichu,11,2,13,0.8461538461538461
mario,ridley,5,7,12,0.4166666666666667
luigi,zelda,5,6,11,0.45454545454545453
cloud,mewtwo,8,4,12,0.6666666666666666
luigi,mrgameandwatch,3,5,8,0.375
kazuya,samus,7,1,8,0.875
donkeykong,dr. mario,3,4,7,0.42857142857142855
luigi,sora,4,1,5,0.8
kazuya,link,2,3,5,0.4
bayonetta,greninja,5,3,8,0.625
donkeykong,incineroar,9,3,12,0.75
bayonetta,robin,4,1,5,0.8
ike,pichu,5,4,9,0.5555555555555556
fox,inkling,16,7,23,0.6956521739130435
corrin,inkling,7,3,10,0.7
bayonetta,ken,2,4,6,0.3333333333333333
byleth,falco,5,2,7,0.7142857142857143
isabelle,wario,4,1,5,0.8
bayonetta,incineroar,2,3,5,0.4
greninja,wario,5,3,8,0.625
bayonetta,sephiroth,5,4,9,0.5555555555555556
luigi,pichu,5,1,6,0.8333333333333334
roy,roy,6,7,13,0.46153846153846156
inkling,pikachu,10,6,16,0.625
kirby,pokemon trainer,10,3,13,0.7692307692307693
bayonetta,joker,7,5,12,0.5833333333333334
chrom,sonic,7,6,13,0.5384615384615384
king dedede,olimar,4,1,5,0.8
corrin,mario,9,1,10,0.9
king k. rool,shulk,3,2,5,0.6
corrin,shulk,3,3,6,0.5
corrin,king k. rool,5,5,10,0.5
diddy kong,rosalina & luma,5,7,12,0.4166666666666667
inkling,lucas,8,10,18,0.4444444444444444
lucas,yoshi,11,7,18,0.6111111111111112
metaknight,yoshi,8,6,14,0.5714285714285714
rosalina & luma,yoshi,7,6,13,0.5384615384615384
link,roy,11,8,19,0.5789473684210527
inkling,minmin,7,5,12,0.5833333333333334
ridley,rob,16,6,22,0.7272727272727273
lucina,shulk,9,12,21,0.42857142857142855
fox,king k. rool,9,4,13,0.6923076923076923
king k. rool,olimar,6,3,9,0.6666666666666666
chrom,young link,4,5,9,0.4444444444444444
chrom,ness,16,9,25,0.64
king k. rool,megaman,6,2,8,0.75
falco,olimar,6,3,9,0.6666666666666666
chrom,king k. rool,6,7,13,0.46153846153846156
bowser,darkpit,2,4,6,0.3333333333333333
darkpit,link,4,1,5,0.8
bayonetta,palutena,12,7,19,0.631578947368421
ike,luigi,10,1,11,0.9090909090909091
darkpit,ike,3,5,8,0.375
darkpit,luigi,3,2,5,0.6
darkpit,inkling,5,6,11,0.45454545454545453
marth,toon link,6,5,11,0.5454545454545454
diddy kong,marth,1,5,6,0.16666666666666666
marth,wario,4,1,5,0.8
darkpit,sonic,2,3,5,0.4
darkpit,pokemon trainer,5,5,10,0.5
chrom,samus,2,4,6,0.3333333333333333
chrom,donkeykong,7,8,15,0.4666666666666667
metaknight,ridley,3,2,5,0.6
jigglypuff,yoshi,3,5,8,0.375
ike,yoshi,22,13,35,0.6285714285714286
palutena,terry,15,3,18,0.8333333333333334
bowser,terry,4,4,8,0.5
lucina,terry,6,1,7,0.8571428571428571
lucas,ness,12,5,17,0.7058823529411765
chrom,lucina,20,4,24,0.8333333333333334
ike,shulk,6,1,7,0.8571428571428571
ike,rosalina & luma,4,1,5,0.8
dr. mario,mario,2,3,5,0.4
piranha plant,roy,3,2,5,0.6
kazuya,piranha plant,3,2,5,0.6
isabelle,piranha plant,4,1,5,0.8
rob,terry,11,3,14,0.7857142857142857
donkeykong,isabelle,3,4,7,0.42857142857142855
bowserjr,marth,7,1,8,0.875
ike,mii brawler,3,4,7,0.42857142857142855
terry,zelda,3,3,6,0.5
marth,peach,4,3,7,0.5714285714285714
greninja,zelda,6,1,7,0.8571428571428571
kazuya,palutena,1,4,5,0.2
joker,marth,3,7,10,0.3
marth,palutena,9,8,17,0.5294117647058824
bayonetta,littlemac,3,2,5,0.6
bayonetta,megaman,1,6,7,0.14285714285714285
bayonetta,captainfalcon,6,2,8,0.75
bayonetta,cloud,11,9,20,0.55
jigglypuff,pikachu,6,2,8,0.75
jigglypuff,zelda,4,3,7,0.5714285714285714
falco,megaman,5,2,7,0.7142857142857143
ganondorf,mario,9,3,12,0.75
ganondorf,toon link,4,4,8,0.5
ness,rosalina & luma,5,4,9,0.5555555555555556
ganondorf,rosalina & luma,2,4,6,0.3333333333333333
ganondorf,ness,13,9,22,0.5909090909090909
pikachu,terry,2,3,5,0.4
hero,rob,13,6,19,0.6842105263157895
hero,snake,5,2,7,0.7142857142857143
donkeykong,wii fit trainer,5,6,11,0.45454545454545453
donkeykong,king k. rool,7,7,14,0.5
king k. rool,yoshi,14,9,23,0.6086956521739131
hero,joker,4,2,6,0.6666666666666666
hero,king dedede,4,3,7,0.5714285714285714
hero,pokemon trainer,6,3,9,0.6666666666666666
hero,mrgameandwatch,5,2,7,0.7142857142857143
pichu,pit,4,1,5,0.8
mario,pit,6,3,9,0.6666666666666666
donkeykong,greninja,5,8,13,0.38461538461538464
ness,yoshi,25,20,45,0.5555555555555556
link,pit,2,3,5,0.4
bowser,pit,7,0,7,1.0
link,metaknight,4,3,7,0.5714285714285714
palutena,sephiroth,7,9,16,0.4375
megaman,sephiroth,5,2,7,0.7142857142857143
donkeykong,robin,11,5,16,0.6875
greninja,piranha plant,1,4,5,0.2
corrin,diddy kong,8,2,10,0.8
isabelle,king dedede,8,3,11,0.7272727272727273
chrom,pokemon trainer,16,8,24,0.6666666666666666
robin,rosalina & luma,3,3,6,0.5
cloud,cloud,7,13,20,0.35
greninja,king dedede,3,3,6,0.5
diddy kong,wolf,27,9,36,0.75
piranha plant,rob,5,2,7,0.7142857142857143
fox,piranha plant,5,2,7,0.7142857142857143
mii brawler,pichu,6,0,6,1.0
chrom,lucario,4,2,6,0.6666666666666666
sora,yoshi,8,4,12,0.6666666666666666
diddy kong,terry,5,2,7,0.7142857142857143
darkpit,ness,4,2,6,0.6666666666666666
lucina,mrgameandwatch,13,2,15,0.8666666666666667
falco,peach,7,3,10,0.7
king dedede,pichu,5,4,9,0.5555555555555556
jigglypuff,toon link,4,1,5,0.8
darkpit,yoshi,6,2,8,0.75
greninja,sora,6,1,7,0.8571428571428571
joker,wii fit trainer,7,1,8,0.875
bayonetta,link,9,6,15,0.6
diddy kong,mii swordfighter,4,1,5,0.8
mii swordfighter,pokemon trainer,9,3,12,0.75
diddy kong,metaknight,2,3,5,0.4
chrom,jigglypuff,9,5,14,0.6428571428571429
sephiroth,zero suit samus,1,4,5,0.2
link,megaman,5,0,5,1.0
joker,terry,5,1,6,0.8333333333333334
mii swordfighter,terry,3,2,5,0.6
ike,simon,3,4,7,0.42857142857142855
littlemac,yoshi,9,5,14,0.6428571428571429
corrin,olimar,3,3,6,0.5
darkpit,lucina,5,2,7,0.7142857142857143
link,sephiroth,3,3,6,0.5
bayonetta,king dedede,4,5,9,0.4444444444444444
ganondorf,pichu,8,4,12,0.6666666666666666
fox,megaman,6,2,8,0.75
mario,olimar,5,5,10,0.5
darkpit,fox,2,5,7,0.2857142857142857
kirby,roy,2,3,5,0.4
chrom,kirby,5,2,7,0.7142857142857143
sephiroth,villager,3,3,6,0.5
pikachu,sephiroth,3,2,5,0.6
joker,mii swordfighter,2,3,5,0.4
bowser,hero,6,1,7,0.8571428571428571
daisy,pichu,4,2,6,0.6666666666666666
lucina,pichu,9,7,16,0.5625
corrin,metaknight,3,2,5,0.6
peach,ridley,5,2,7,0.7142857142857143
jigglypuff,kirby,5,3,8,0.625
mii swordfighter,sonic,3,2,5,0.6
mrgameandwatch,sora,4,2,6,0.6666666666666666
lucina,mii swordfighter,7,2,9,0.7777777777777778
robin,young link,5,5,10,0.5
mii brawler,rosalina & luma,3,2,5,0.6
king k. rool,lucas,5,4,9,0.5555555555555556
corrin,yoshi,9,6,15,0.6
pyra mythra,terry,6,2,8,0.75
byleth,chrom,5,1,6,0.8333333333333334
ken,lucas,4,1,5,0.8
chrom,isabelle,5,3,8,0.625
megaman,wolf,15,9,24,0.625
byleth,lucina,6,0,6,1.0
rob,simon,8,2,10,0.8
littlemac,peach,5,2,7,0.7142857142857143
rosalina & luma,zelda,6,4,10,0.6
byleth,olimar,6,1,7,0.8571428571428571
cloud,corrin,9,2,11,0.8181818181818182
mii brawler,wario,3,2,5,0.6
pit,snake,2,3,5,0.4
olimar,pyra mythra,6,4,10,0.6
simon,wolf,3,2,5,0.6
ike,olimar,8,2,10,0.8
mrgameandwatch,richter,5,3,8,0.625
peach,richter,6,0,6,1.0
mario,ryu,3,2,5,0.6
king k. rool,littlemac,4,2,6,0.6666666666666666
ganondorf,king k. rool,9,6,15,0.6
ganondorf,peach,6,1,7,0.8571428571428571
ganondorf,minmin,6,4,10,0.6
rob,wii fit trainer,7,5,12,0.5833333333333334
hero,inkling,6,1,7,0.8571428571428571
joker,mewtwo,3,4,7,0.42857142857142855
greninja,mewtwo,7,4,11,0.6363636363636364
darkpit,palutena,2,6,8,0.25
cloud,sephiroth,5,4,9,0.5555555555555556
richter,wii fit trainer,3,3,6,0.5
ganondorf,snake,15,4,19,0.7894736842105263
cloud,ganondorf,6,13,19,0.3157894736842105
hero,link,3,3,6,0.5
shulk,terry,2,4,6,0.3333333333333333
bowser,minmin,5,5,10,0.5
chrom,wii fit trainer,8,1,9,0.8888888888888888
simon,yoshi,3,5,8,0.375
littlemac,samus,6,1,7,0.8571428571428571
olimar,zelda,6,1,7,0.8571428571428571
ganondorf,pokemon trainer,8,10,18,0.4444444444444444
ganondorf,joker,8,3,11,0.7272727272727273
byleth,rosalina & luma,6,0,6,1.0
fox,fox,2,7,9,0.2222222222222222
falco,hero,5,2,7,0.7142857142857143
darksamus,luigi,4,1,5,0.8
inkling,terry,8,4,12,0.6666666666666666
marth,samus,5,0,5,1.0
bayonetta,mewtwo,4,1,5,0.8
mrgameandwatch,mrgameandwatch,4,2,6,0.6666666666666666
king dedede,king dedede,2,3,5,0.4
ganondorf,inkling,10,6,16,0.625
darksamus,palutena,3,2,5,0.6
marth,roy,3,2,5,0.6
ganondorf,yoshi,16,12,28,0.5714285714285714
ganondorf,pacman,5,2,7,0.7142857142857143
darksamus,lucina,5,2,7,0.7142857142857143
kazuya,lucina,4,3,7,0.5714285714285714
banjo & kazooie,pichu,2,3,5,0.4
terry,wolf,7,3,10,0.7
isabelle,king k. rool,3,5,8,0.375
darkpit,wolf,7,5,12,0.5833333333333334
mii swordfighter,wolf,4,4,8,0.5
lucina,ridley,8,5,13,0.6153846153846154
greninja,metaknight,3,3,6,0.5
bowserjr,luigi,3,2,5,0.6
bowserjr,peach,10,3,13,0.7692307692307693
duckhunt,samus,6,1,7,0.8571428571428571
bowserjr,fox,4,3,7,0.5714285714285714
mii brawler,wolf,3,6,9,0.3333333333333333
megaman,mrgameandwatch,6,4,10,0.6
greninja,inkling,13,8,21,0.6190476190476191
fox,mewtwo,2,6,8,0.25
luigi,sheik,3,2,5,0.6
bowser,mewtwo,6,3,9,0.6666666666666666
megaman,mewtwo,2,3,5,0.4
mewtwo,pyra mythra,4,2,6,0.6666666666666666
ike,sephiroth,5,1,6,0.8333333333333334
isabelle,yoshi,13,7,20,0.65
robin,terry,4,2,6,0.6666666666666666
hero,hero,3,2,5,0.6
hero,isabelle,3,3,6,0.5
kazuya,rob,4,4,8,0.5
lucas,robin,6,1,7,0.8571428571428571
bowserjr,king k. rool,5,2,7,0.7142857142857143
bowserjr,wii fit trainer,3,2,5,0.6
bowserjr,robin,5,3,8,0.625
banjo & kazooie,joker,4,1,5,0.8
bayonetta,peach,4,6,10,0.4
rob,sora,7,3,10,0.7
fox,terry,5,3,8,0.625
peach,peach,2,3,5,0.4
bayonetta,yoshi,15,8,23,0.6521739130434783
mii swordfighter,palutena,4,5,9,0.4444444444444444
chrom,lucas,6,4,10,0.6
ganondorf,megaman,2,4,6,0.3333333333333333
donkeykong,ganondorf,9,3,12,0.75
bowserjr,pichu,2,4,6,0.3333333333333333
bowserjr,lucina,5,10,15,0.3333333333333333
link,wii fit trainer,5,3,8,0.625
bowserjr,king dedede,3,3,6,0.5
donkeykong,rosalina & luma,5,3,8,0.625
captainfalcon,isabelle,8,3,11,0.7272727272727273
captainfalcon,rosalina & luma,5,1,6,0.8333333333333334
king k. rool,rosalina & luma,3,2,5,0.6
darksamus,ike,3,2,5,0.6
darkpit,mii brawler,3,2,5,0.6
ganondorf,roy,14,7,21,0.6666666666666666
hero,richter,2,4,6,0.3333333333333333
ganondorf,rob,12,8,20,0.6
ganondorf,ridley,8,2,10,0.8
inkling,rosalina & luma,6,1,7,0.8571428571428571
diddy kong,kirby,3,3,6,0.5
corrin,donkeykong,8,2,10,0.8
captainfalcon,richter,2,4,6,0.3333333333333333
king k. rool,mrgameandwatch,4,3,7,0.5714285714285714
mii swordfighter,rob,6,4,10,0.6
ganondorf,mrgameandwatch,4,6,10,0.4
bowserjr,richter,6,0,6,1.0
ganondorf,zelda,3,8,11,0.2727272727272727
bowserjr,pokemon trainer,9,7,16,0.5625
mii brawler,roy,3,2,5,0.6
ganondorf,lucina,11,7,18,0.6111111111111112
king dedede,luigi,13,2,15,0.8666666666666667
bayonetta,mii swordfighter,7,2,9,0.7777777777777778
darksamus,snake,5,1,6,0.8333333333333334
mii swordfighter,yoshi,5,1,6,0.8333333333333334
mii swordfighter,snake,7,2,9,0.7777777777777778
mii swordfighter,villager,3,2,5,0.6
bayonetta,kirby,3,2,5,0.6
pacman,rosalina & luma,2,3,5,0.4
ganondorf,ike,7,5,12,0.5833333333333334
chrom,ganondorf,10,2,12,0.8333333333333334
bowserjr,link,6,2,8,0.75
chrom,ike,9,6,15,0.6
ganondorf,samus,4,4,8,0.5
pyra mythra,sephiroth,3,2,5,0.6
bowserjr,palutena,5,10,15,0.3333333333333333
bowserjr,yoshi,12,9,21,0.5714285714285714
ganondorf,wario,6,2,8,0.75
bowserjr,joker,8,3,11,0.7272727272727273
bowserjr,donkeykong,5,4,9,0.5555555555555556
bowserjr,ganondorf,5,0,5,1.0
bowserjr,ness,6,4,10,0.6
marth,villager,3,2,5,0.6
bowserjr,corrin,1,4,5,0.2
bowserjr,inkling,8,6,14,0.5714285714285714
ganondorf,shulk,8,4,12,0.6666666666666666
marth,terry,4,2,6,0.6666666666666666
bowserjr,chrom,8,3,11,0.7272727272727273
bowserjr,falco,4,5,9,0.4444444444444444
duckhunt,hero,4,1,5,0.8
donkeykong,hero,7,3,10,0.7
hero,samus,6,3,9,0.6666666666666666
pacman,pyra mythra,5,4,9,0.5555555555555556
dr. mario,fox,3,3,6,0.5
chrom,fox,10,6,16,0.625
bowserjr,shulk,7,0,7,1.0
greninja,incineroar,2,4,6,0.3333333333333333
donkeykong,marth,7,4,11,0.6363636363636364
marth,yoshi,5,7,12,0.4166666666666667
chrom,mii brawler,8,2,10,0.8
lucina,sephiroth,5,1,6,0.8333333333333334
mewtwo,wolf,4,5,9,0.4444444444444444
bowser,bowserjr,5,2,7,0.7142857142857143
bayonetta,bowserjr,3,3,6,0.5
bowserjr,sonic,4,5,9,0.4444444444444444
pit,pokemon trainer,6,3,9,0.6666666666666666
inkling,simon,3,2,5,0.6
inkling,inkling,14,16,30,0.4666666666666667
banjo & kazooie,inkling,5,0,5,1.0
hero,wario,3,2,5,0.6
lucas,pyra mythra,5,0,5,1.0
chrom,ridley,4,4,8,0.5
bowserjr,ridley,5,3,8,0.625
bowserjr,roy,4,4,8,0.5
banjo & kazooie,king dedede,6,1,7,0.8571428571428571
bowser,lucas,8,3,11,0.7272727272727273
lucas,wario,3,4,7,0.42857142857142855
chrom,kazuya,2,3,5,0.4
darkpit,rob,6,7,13,0.46153846153846156
byleth,pikachu,3,4,7,0.42857142857142855
ness,terry,0,6,6,0.0
mii swordfighter,ness,7,2,9,0.7777777777777778
lucas,roy,12,3,15,0.8
byleth,shulk,5,1,6,0.8333333333333334
lucas,zelda,1,5,6,0.16666666666666666
luigi,minmin,6,1,7,0.8571428571428571
ganondorf,richter,4,4,8,0.5
kazuya,megaman,2,3,5,0.4
ganondorf,zero suit samus,4,2,6,0.6666666666666666
lucas,mrgameandwatch,3,2,5,0.6
ganondorf,kirby,7,1,8,0.875
jigglypuff,ridley,3,3,6,0.5
ganondorf,palutena,5,6,11,0.45454545454545453
bayonetta,toon link,2,3,5,0.4
chrom,marth,3,2,5,0.6
marth,sonic,3,2,5,0.6
lucina,marth,3,6,9,0.3333333333333333
inkling,kirby,8,2,10,0.8
bowser,richter,4,4,8,0.5
ganondorf,marth,3,4,7,0.42857142857142855
falco,terry,5,1,6,0.8333333333333334
link,mewtwo,4,3,7,0.5714285714285714
inkling,mewtwo,5,3,8,0.625
king k. rool,king k. rool,2,6,8,0.25
bowserjr,zelda,4,2,6,0.6666666666666666
richter,sonic,4,3,7,0.5714285714285714
megaman,wario,1,5,6,0.16666666666666666
bowserjr,captainfalcon,9,1,10,0.9
link,ridley,6,2,8,0.75
luigi,palutena,14,3,17,0.8235294117647058
ganondorf,young link,4,1,5,0.8
fox,ganondorf,5,6,11,0.45454545454545453
daisy,inkling,5,1,6,0.8333333333333334
bayonetta,pacman,7,1,8,0.875
darksamus,donkeykong,3,2,5,0.6
cloud,darkpit,7,3,10,0.7
captainfalcon,daisy,2,3,5,0.4
cloud,mii swordfighter,5,1,6,0.8333333333333334
king k. rool,toon link,5,2,7,0.7142857142857143
incineroar,mii gunner,2,3,5,0.4
bowserjr,snake,7,6,13,0.5384615384615384
ganondorf,lucas,4,5,9,0.4444444444444444
marth,pokemon trainer,5,3,8,0.625
bowserjr,wolf,6,5,11,0.5454545454545454
ganondorf,luigi,9,2,11,0.8181818181818182
ike,lucas,5,3,8,0.625
incineroar,simon,3,2,5,0.6
mii brawler,wii fit trainer,3,2,5,0.6
olimar,ridley,2,3,5,0.4
bowserjr,minmin,7,3,10,0.7
captainfalcon,lucas,6,3,9,0.6666666666666666
ganondorf,isabelle,6,2,8,0.75
mii gunner,mii swordfighter,5,1,6,0.8333333333333334
daisy,yoshi,9,0,9,1.0
bowserjr,villager,3,5,8,0.375
mewtwo,yoshi,7,3,10,0.7
chrom,roy,12,6,18,0.6666666666666666
kirby,toon link,5,1,6,0.8333333333333334
bayonetta,chrom,5,4,9,0.5555555555555556
chrom,mii swordfighter,2,4,6,0.3333333333333333
darksamus,yoshi,2,4,6,0.3333333333333333
link,richter,3,4,7,0.42857142857142855
king k. rool,metaknight,5,0,5,1.0
chrom,darksamus,3,4,7,0.42857142857142855
banjo & kazooie,peach,5,0,5,1.0
mii gunner,wolf,7,0,7,1.0
donkeykong,luigi,7,4,11,0.6363636363636364
mii gunner,palutena,3,4,7,0.42857142857142855
diddy kong,mewtwo,2,3,5,0.4
bowserjr,young link,5,1,6,0.8333333333333334
king k. rool,ridley,4,5,9,0.4444444444444444
mii brawler,ridley,4,1,5,0.8
king dedede,megaman,5,1,6,0.8333333333333334
ganondorf,king dedede,4,2,6,0.6666666666666666
incineroar,king dedede,5,5,10,0.5
chrom,darkpit,4,3,7,0.5714285714285714
donkeykong,megaman,7,6,13,0.5384615384615384
byleth,samus,3,3,6,0.5
byleth,richter,0,5,5,0.0
mario,richter,3,4,7,0.42857142857142855
marth,snake,6,2,8,0.75
lucina,mii brawler,4,4,8,0.5
darkpit,falco,4,2,6,0.6666666666666666
bowser,dr. mario,1,4,5,0.2
darksamus,ness,6,3,9,0.6666666666666666
darkpit,mario,4,1,5,0.8
ridley,ridley,3,2,5,0.6
mii brawler,yoshi,4,2,6,0.6666666666666666
ken,ridley,3,5,8,0.375
kirby,metaknight,4,1,5,0.8
captainfalcon,darksamus,0,5,5,0.0
bowser,darksamus,3,3,6,0.5
darkpit,marth,3,2,5,0.6
byleth,robin,8,0,8,1.0
chrom,megaman,6,6,12,0.5
jigglypuff,pacman,4,1,5,0.8
corrin,rosalina & luma,4,1,5,0.8
olimar,samus,4,1,5,0.8
chrom,falco,8,5,13,0.6153846153846154
cloud,mii gunner,3,2,5,0.6
captainfalcon,mii swordfighter,5,0,5,1.0
samus,samus,2,4,6,0.3333333333333333
incineroar,mii brawler,3,2,5,0.6
ike,megaman,6,3,9,0.6666666666666666
megaman,mii swordfighter,2,4,6,0.3333333333333333
darkpit,joker,4,1,5,0.8
donkeykong,mii gunner,3,2,5,0.6
bayonetta,mii gunner,4,1,5,0.8
bowserjr,mewtwo,5,1,6,0.8333333333333334
darksamus,inkling,5,1,6,0.8333333333333334
ganondorf,villager,4,2,6,0.6666666666666666
ganondorf,sonic,2,5,7,0.2857142857142857
hero,sheik,3,2,5,0.6
pikachu,simon,3,2,5,0.6
ganondorf,metaknight,5,2,7,0.7142857142857143
pyra mythra,ridley,3,4,7,0.42857142857142855
ganondorf,pikachu,4,1,5,0.8
byleth,ike,2,4,6,0.3333333333333333
megaman,pikachu,2,4,6,0.3333333333333333
rosalina & luma,samus,4,4,8,0.5
chrom,mii gunner,4,2,6,0.6666666666666666
robin,sephiroth,6,1,7,0.8571428571428571
byleth,ridley,3,2,5,0.6
lucario,luigi,4,1,5,0.8
isabelle,megaman,3,2,5,0.6
ridley,robin,2,3,5,0.4
link,marth,6,2,8,0.75
mii gunner,roy,2,4,6,0.3333333333333333
donkeykong,terry,5,1,6,0.8333333333333334
chrom,hero,3,3,6,0.5
bowserjr,mrgameandwatch,5,2,7,0.7142857142857143
